,reference_date,value
0,2026-05-19,4
1,2026-05-20,6
2,2026-05-21,9
3,2026-05-22,10
4,2026-05-23,10
5,2026-05-24,10
6,2026-05-25,12
7,2026-05-26,17
8,2026-05-27,17
9,2026-05-28,17
10,2026-05-29,42
11,2026-05-30,42
12,2026-05-31,48
13,2026-06-01,60
14,2026-06-02,62
15,2026-06-03,70
16,2026-06-04,82
17,2026-06-05,86
18,2026-06-06,91
19,2026-06-07,101
20,2026-06-08,115
21,2026-06-09,127
