,reference_date,value
0,2026-05-19,51
1,2026-05-20,64
2,2026-05-21,83
3,2026-05-22,91
4,2026-05-23,101
5,2026-05-24,105
6,2026-05-25,106
7,2026-05-26,121
8,2026-05-27,125
9,2026-05-28,210
10,2026-05-29,263
11,2026-05-30,282
12,2026-05-31,321
13,2026-06-01,344
14,2026-06-02,363
15,2026-06-03,381
16,2026-06-04,452
17,2026-06-05,488
18,2026-06-06,515
19,2026-06-07,550
20,2026-06-08,598
21,2026-06-09,635
