,Date,smoothed_confirmed_cases,smoothed_confirmed_deaths
0,2026-05-19,50.05411255411246,3.872294372294369
1,2026-05-20,17.270562770562748,2.5519480519480546
2,2026-05-21,11.835497835497712,2.155844155844153
3,2026-05-22,12.870129870129878,1.4112554112554174
4,2026-05-23,7.575757575757613,0.0
5,2026-05-24,3.3506493506493484,0.0
6,2026-05-25,6.930735930735972,2.7792207792207746
7,2026-05-26,0.0,4.025974025974044
8,2026-05-27,28.22077922077909,0.0
9,2026-05-28,63.16017316017316,7.640692640692625
10,2026-05-29,59.060606060606126,13.76623376623377
11,2026-05-30,27.116883116883248,8.549783549783559
12,2026-05-31,28.63203463203467,3.965367965367992
13,2026-06-01,29.75324675324681,9.16450216450216
14,2026-06-02,10.991341991341976,5.376623376623378
15,2026-06-03,33.194805194805134,7.2424242424242475
16,2026-06-04,53.07792207792208,10.268398268398274
17,2026-06-05,46.800865800865864,5.796536796536811
18,2026-06-06,24.099567099567167,4.437229437229434
19,2026-06-07,30.86580086580139,8.874458874458822
20,2026-06-08,52.177489177489804,15.069264069263959
21,2026-06-09,35.88311688311765,11.718614718614527
